2025-04-28 14:15:59,860 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=curl)
2025-04-28 14:16:00,651 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=gnupg2)
2025-04-28 14:16:01,417 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=lsb-release)
2025-04-28 14:16:02,195 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=bash-completion)
2025-04-28 14:16:02,978 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=dnsutils)
2025-04-28 14:16:03,747 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=net-tools)
2025-04-28 14:16:04,509 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=git)
2025-04-28 14:16:05,279 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=jq)
2025-04-28 14:16:06,066 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=less)
2025-04-28 14:16:06,832 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=lsof)
2025-04-28 14:16:07,612 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=molly-guard)
2025-04-28 14:16:08,381 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=nmap)
2025-04-28 14:16:09,150 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=screen)
2025-04-28 14:16:09,930 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=sudo)
2025-04-28 14:16:10,701 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=ipcalc)
2025-04-28 14:16:10,705 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Remove unused packages] **********************************************************************************************************
2025-04-28 14:16:11,644 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:16:11,648 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/install-docker : Download Docker GPG key and add it to the keyring] **************************************************************************
2025-04-28 14:16:12,166 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:16:12,168 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/install-docker : Add Docker GPG key to apt keyring] ******************************************************************************************
2025-04-28 14:16:13,237 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:16:13,240 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/install-docker : Add specified repository into sources list] *********************************************************************************
2025-04-28 14:16:13,707 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:16:13,710 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/install-docker : Remove obsolete Docker packages] ********************************************************************************************
2025-04-28 14:16:14,330 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker.io)
2025-04-28 14:16:14,926 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-doc)
2025-04-28 14:16:15,537 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-compose)
2025-04-28 14:16:16,130 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=podman-docker)
2025-04-28 14:16:16,720 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=containerd)
2025-04-28 14:16:17,310 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=runc)
2025-04-28 14:16:17,313 p=98583 u=blizzar n=ansible INFO| TASK [../../roles/install-docker : Update apt and Install Docker engine] ***************************************************************************************
2025-04-28 14:16:18,839 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-ce)
2025-04-28 14:16:20,355 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-ce-cli)
2025-04-28 14:16:21,864 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=containerd.io)
2025-04-28 14:16:23,379 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-buildx-plugin)
2025-04-28 14:16:24,909 p=98583 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=docker-compose-plugin)
2025-04-28 14:16:24,913 p=98583 u=blizzar n=ansible INFO| PLAY RECAP *****************************************************************************************************************************************************
2025-04-28 14:16:24,913 p=98583 u=blizzar n=ansible INFO| zawarudo                   : ok=9    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-04-28 14:24:56,728 p=102639 u=blizzar n=ansible INFO| [DEPRECATION WARNING]: community.general.yaml has been deprecated. The plugin has been superseded by the the option `result_format=yaml` in callback plugin 
ansible.builtin.default from ansible-core 2.13 onwards. This feature will be removed from community.general in version 13.0.0. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2025-04-28 14:24:56,743 p=102639 u=blizzar n=ansible INFO| PLAY [test] ****************************************************************************************************************************************************
2025-04-28 14:24:56,749 p=102639 u=blizzar n=ansible INFO| TASK [Gathering Facts] *****************************************************************************************************************************************
2025-04-28 14:24:59,095 p=102639 u=blizzar n=ansible WARNING| [WARNING]: Platform linux on host zawarudo is using the discovered Python interpreter at /usr/bin/python3.11, but future installation of another Python
interpreter could change the meaning of that path. See https://docs.ansible.com/ansible-core/2.18/reference_appendices/interpreter_discovery.html for more
information.

2025-04-28 14:24:59,096 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo]
2025-04-28 14:24:59,098 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Upgrade all packages] ************************************************************************************************************
2025-04-28 14:25:38,753 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:25:38,756 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Install required packages] *******************************************************************************************************
2025-04-28 14:25:39,551 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=vim)
2025-04-28 14:25:41,456 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=apt-transport-https)
2025-04-28 14:25:42,225 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=ca-certificates)
2025-04-28 14:25:45,767 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=curl)
2025-04-28 14:25:51,772 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=gnupg2)
2025-04-28 14:25:52,534 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=lsb-release)
2025-04-28 14:25:53,277 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=bash-completion)
2025-04-28 14:25:55,148 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=dnsutils)
2025-04-28 14:25:58,093 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=net-tools)
2025-04-28 14:26:01,956 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=git)
2025-04-28 14:26:04,406 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=jq)
2025-04-28 14:26:05,163 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=less)
2025-04-28 14:26:05,922 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=lsof)
2025-04-28 14:26:08,302 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=molly-guard)
2025-04-28 14:26:13,660 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=nmap)
2025-04-28 14:26:16,790 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=screen)
2025-04-28 14:26:19,970 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=sudo)
2025-04-28 14:26:22,277 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=ipcalc)
2025-04-28 14:26:22,282 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/deb-setup : Remove unused packages] **********************************************************************************************************
